kind,scope,name,numeric_value,text_value
metric,"round_18",repartitioned,1,
metric,"round_19",interior_edge_fraction,0.963272,
metric,"round_19",boundary_edge_fraction,0.0367283,
metric,"round_19",partition_load_imbalance,6.75725,
metric,"round_19",local_queue_size,172993,
metric,"round_19",boundary_queue_size,6596,
metric,"round_19",accepted_local_collapses,512,
metric,"round_19",accepted_boundary_collapses,128,
metric,"round_19",skipped_boundary_edges,0,
metric,"round_19",rejected_conflicts,115,
metric,"round_19",repartitioned,1,
metric,"round_20",interior_edge_fraction,0.963381,
metric,"round_20",boundary_edge_fraction,0.0366187,
metric,"round_20",partition_load_imbalance,6.91546,
metric,"round_20",local_queue_size,171163,
metric,"round_20",boundary_queue_size,6506,
metric,"round_20",accepted_local_collapses,512,
metric,"round_20",accepted_boundary_collapses,128,
metric,"round_20",skipped_boundary_edges,0,
metric,"round_20",rejected_conflicts,111,
metric,"round_20",repartitioned,1,
metric,"round_21",interior_edge_fraction,0.963886,
metric,"round_21",boundary_edge_fraction,0.036114,
metric,"round_21",partition_load_imbalance,7.09245,
metric,"round_21",local_queue_size,169402,
metric,"round_21",boundary_queue_size,6347,
metric,"round_21",accepted_local_collapses,512,
metric,"round_21",accepted_boundary_collapses,128,
metric,"round_21",skipped_boundary_edges,0,
metric,"round_21",rejected_conflicts,109,
metric,"round_21",repartitioned,1,
metric,"round_22",interior_edge_fraction,0.964385,
metric,"round_22",boundary_edge_fraction,0.0356155,
metric,"round_22",partition_load_imbalance,7.27143,
metric,"round_22",local_queue_size,167638,
metric,"round_22",boundary_queue_size,6191,
metric,"round_22",accepted_local_collapses,512,
metric,"round_22",accepted_boundary_collapses,128,
metric,"round_22",skipped_boundary_edges,0,
metric,"round_22",rejected_conflicts,89,
metric,"round_22",repartitioned,1,
metric,"round_23",interior_edge_fraction,0.964487,
metric,"round_23",boundary_edge_fraction,0.035513,
metric,"round_23",partition_load_imbalance,7.47707,
metric,"round_23",local_queue_size,165804,
metric,"round_23",boundary_queue_size,6105,
metric,"round_23",accepted_local_collapses,512,
metric,"round_23",accepted_boundary_collapses,128,
metric,"round_23",skipped_boundary_edges,0,
metric,"round_23",rejected_conflicts,98,
metric,"round_23",repartitioned,1,
metric,"round_24",interior_edge_fraction,0.964886,
metric,"round_24",boundary_edge_fraction,0.035114,
metric,"round_24",partition_load_imbalance,7.69082,
metric,"round_24",local_queue_size,164020,
metric,"round_24",boundary_queue_size,5969,
metric,"round_24",accepted_local_collapses,512,
metric,"round_24",accepted_boundary_collapses,128,
metric,"round_24",skipped_boundary_edges,0,
metric,"round_24",rejected_conflicts,92,
metric,"round_24",repartitioned,1,
metric,"round_25",interior_edge_fraction,0.965365,
metric,"round_25",boundary_edge_fraction,0.0346346,
metric,"round_25",partition_load_imbalance,7.91274,
metric,"round_25",local_queue_size,162248,
metric,"round_25",boundary_queue_size,5821,
metric,"round_25",accepted_local_collapses,512,
